_step,train/entropy,train/global_step,train/learning_rate,_timestamp,train/grad_norm,train/num_tokens,_runtime,train/loss,train/epoch,train/mean_token_accuracy
0,0.9041249550879001,10,3.6e-05,1764932090.8349094,0.8352241516113281,95588.0,21.788479741,1.3914,0.0016,0.7017090685665608
1,1.0660221688449383,20,7.6e-05,1764932110.4621773,0.3352789282798767,191487.0,41.415309736,1.1319,0.0032,0.7225773446261883
2,0.9248928129673004,30,0.000116,1764932129.797324,0.24562884867191315,281289.0,60.750761964,0.9012,0.0048,0.7619699448347091
3,0.8772780451923609,40,0.00015600000000000002,1764932149.4440348,0.23493969440460205,375343.0,80.397142489,0.8675,0.0064,0.7657944351434708
4,0.8612923920154572,50,0.000196,1764932168.8649447,0.2563740909099579,471030.0,99.818033336,0.823,0.008,0.7746632672846318
5,0.8319871626794338,60,0.00019998948817948157,1764932188.00717,0.25300151109695435,563686.0,118.960290194,0.8092,0.0096,0.7791224993765354
6,0.8318233747035265,70,0.0001999531538593893,1764932207.3949537,0.25397682189941406,655994.0,138.34833919,0.8422,0.0112,0.7711196579039097
7,0.805650819092989,80,0.00019989087669249037,1764932226.8997657,0.19602209329605103,750241.0,157.853039418,0.7886,0.0128,0.7823427818715573
8,0.7728083834052086,90,0.00019980267284282717,1764932246.0721295,0.20651529729366302,836460.0,177.025203869,0.7461,0.0144,0.7883340120315552
9,0.8052004616707563,100,0.0001996885652037138,1764932265.9419758,0.2137778103351593,928589.0,196.895198097,0.8112,0.016,0.7804314203560352
10,0.8296439699828625,110,0.00019954858339179464,1764932286.1383436,0.23033300042152405,1025934.0,217.091413912,0.8187,0.0176,0.7727990008890628
11,0.7539524011313915,120,0.00019938276373935687,1764932305.752079,0.20365358889102936,1126377.0,236.705185318,0.7245,0.0192,0.7903408266603946
12,0.8001894295215607,130,0.00019919114928490086,1764932325.4604044,0.18862658739089966,1221476.0,256.413632211,0.7935,0.0208,0.7825377881526947
13,0.8064688596874475,140,0.0001989737897619692,1764932351.0211499,0.1932707279920578,1311266.0,281.975048012,0.8088,0.0224,0.7779531173408032
14,0.8133235961198807,150,0.0001987307415862385,1764932375.1532192,0.21802236139774323,1397355.0,306.10634229,0.811,0.024,0.7772389821708202
15,0.7386463604867458,160,0.0001984620678408767,1764932399.4570246,0.17824877798557281,1497155.0,330.410480131,0.7216,0.0256,0.798036801815033
16,0.7576514266431331,170,0.0001981678382601698,1764932424.3303792,0.2683343291282654,1586623.0,355.28546033,0.7293,0.0272,0.7924512952566147
17,0.728060070425272,180,0.0001978481292114223,1764932452.2469974,0.2586780786514282,1681877.0,383.200095634,0.7146,0.0288,0.7953823983669281
18,0.7305060006678105,190,0.00019750302367513612,1764932477.1199102,0.1924036294221878,1771658.0,408.073064741,0.7523,0.0304,0.792211540043354
19,0.7509196424856782,200,0.00019713261122347294,1764932500.6483378,0.2061670869588852,1862340.0,431.601714863,0.7128,0.032,0.7984071277081967
20,0.8585744947195053,210,0.0001967369879970058,1764932526.8684678,0.18401767313480377,1953837.0,457.821790716,0.8262,0.0336,0.7679912060499191
21,0.7325944129377604,220,0.00019631625667976583,1764932551.3793201,0.23942849040031433,2048322.0,482.33607263,0.7519,0.0352,0.7905481398105622
22,0.7666202485561371,230,0.00019587052647259044,1764932576.1711733,0.19340801239013672,2141394.0,507.125297952,0.7579,0.0368,0.784542628377676
23,0.7560160461813211,240,0.00019539991306478046,1764932606.608041,0.20105336606502533,2229351.0,537.562766307,0.7143,0.0384,0.7952188342809677
24,0.758319616690278,250,0.00019490453860407278,1764932632.1361728,0.21594610810279846,2324821.0,563.089362989,0.7095,0.04,0.7934439145028591
25,0.8371642168611289,260,0.00019438453166493712,1764932656.1331525,0.1923876702785492,2420425.0,587.086604645,0.822,0.0416,0.7740124128758907
26,0.7732887458056211,270,0.0001938400272152042,1764932681.1908329,0.25364381074905396,2513910.0,612.144433703,0.7665,0.0432,0.7858792133629322
27,0.7168044295161963,280,0.00019327116658103525,1764932706.4227512,0.21329723298549652,2604929.0,637.376345405,0.6757,0.0448,0.8068887159228325
28,0.7940787252038717,290,0.0001926780974102403,1764932731.0301123,0.2024330347776413,2699659.0,661.983235537,0.7693,0.0464,0.7817905932664871
29,0.7904366899281741,300,0.0001920609736339567,1764932754.7786424,0.20196247100830078,2787164.0,685.731870555,0.7649,0.048,0.7810802236199379
30,0.8135900910943746,310,0.0001914199554266958,1764932778.1951964,0.2457655370235443,2883477.0,709.14844859,0.7864,0.0496,0.7781938441097737
31,0.7529031071811915,320,0.0001907552091647701,1764932801.0464692,0.2803730368614197,2979919.0,731.999589463,0.74,0.0512,0.7918536908924579
32,0.7729157207533717,330,0.00019006690738310989,1764932823.6868706,0.2303241342306137,3063465.0,754.64005709,0.7489,0.0528,0.7860786937177181
33,0.7364292945712805,340,0.000189355228730482,1764932846.32466,0.21041351556777954,3156362.0,777.277752495,0.7078,0.0544,0.7983866550028325
34,0.7504892095923423,350,0.00018862035792312147,1764932869.7157922,0.1996893584728241,3248223.0,800.670063848,0.7419,0.056,0.7895222760736942
35,0.7086700350046158,360,0.00018786248569678846,1764932892.608806,0.17999598383903503,3341196.0,823.562070229,0.6729,0.0576,0.8045312486588955
36,0.7971666008234024,370,0.00018708180875726265,1764932914.8384352,0.2276492714881897,3434877.0,845.791546448,0.793,0.0592,0.7806105442345143
37,0.7946581043303013,380,0.00018627852972928838,1764932937.1539807,0.20998069643974304,3528430.0,868.107337145,0.7874,0.0608,0.784788066893816
38,0.7632224645465613,390,0.00018545285710398342,1764932959.0373104,0.2160952389240265,3619407.0,889.990422117,0.7447,0.0624,0.7886847071349621
39,0.748706578835845,400,0.00018460500518472487,1764932980.3749826,0.2260485291481018,3708119.0,911.328090713,0.7108,0.064,0.7950871005654335
40,0.7824619423598052,410,0.00018373519403152696,1764933004.9279609,0.19889654219150543,3794139.0,935.881167868,0.7626,0.0656,0.785405645519495
41,0.7561131104826927,420,0.00018284364940392424,1764933026.7165294,0.21325956284999847,3886709.0,957.669812976,0.7168,0.0672,0.789302921295166
42,0.7723469067364931,430,0.00018193060270237595,1764933048.4140136,0.25066620111465454,3979701.0,979.367137398,0.7462,0.0688,0.7924702107906342
43,0.7880590822547674,440,0.00018099629090820562,1764933070.0385835,0.2010365128517151,4066620.0,1000.991805494,0.81,0.0704,0.7768909446895123
44,0.7428479535505176,450,0.00018004095652209302,1764933091.5609405,0.20746490359306335,4156524.0,1022.514366572,0.7278,0.072,0.7923044979572296
45,0.8155113983899355,460,0.0001790648475011327,1764933113.0791907,0.23163291811943054,4250733.0,1044.032629249,0.7992,0.0736,0.778423760086298
46,0.7518072925508023,470,0.00017806821719447695,1764933134.522835,0.20949015021324158,4341947.0,1065.476139875,0.739,0.0752,0.7925677135586738
47,0.7706251744180918,480,0.00017705132427757895,1764933156.6649168,0.23797358572483063,4432985.0,1087.618037012,0.7692,0.0768,0.7874403282999992
48,0.8060018192976713,490,0.00017601443268505342,1764933177.7842185,0.24363799393177032,4526400.0,1108.737570412,0.7876,0.0784,0.7789299748837948
49,0.7572759792208672,500,0.00017495781154217265,1764933198.71079,0.17880593240261078,4622197.0,1129.664057299,0.7383,0.08,0.7946414902806282
50,0.767031341418624,510,0.00017388173509501472,1764933218.9189887,0.2540229558944702,4708972.0,1149.872007698,0.7452,0.0816,0.7864149555563926
51,0.7665508978068829,520,0.0001727864826392831,1764933239.5613494,0.17222465574741364,4803330.0,1170.514491206,0.7346,0.0832,0.7870740085840225
52,0.7960766233503819,530,0.00017167233844781542,1764933259.974143,0.20983296632766724,4893087.0,1190.927388555,0.7729,0.0848,0.7845068149268627
53,0.8090796161442995,540,0.00017053959169680032,1764933280.7782712,0.24990412592887878,4989569.0,1211.731396637,0.807,0.0864,0.7765040107071399
54,0.7762201581150293,550,0.00016938853639072185,1764933301.3764114,0.20555368065834045,5085383.0,1232.329542774,0.7622,0.088,0.7850156962871552
55,0.7756595646962523,560,0.00016821947128605065,1764933321.72922,0.22270360589027405,5175257.0,1252.682663938,0.7652,0.0896,0.7854892686009407
56,0.7410555697977543,570,0.00016703269981370157,1764933342.101376,0.20325405895709991,5267360.0,1273.054546732,0.7036,0.0912,0.800130395591259
57,0.7542694207280874,580,0.00016582853000027815,1764933362.513332,0.25199487805366516,5362223.0,1293.466524798,0.7534,0.0928,0.789223987609148
58,0.7712708875536919,590,0.00016460727438812446,1764933382.6322737,0.22042706608772278,5450505.0,1313.58538742,0.7513,0.0944,0.7899126566946506
59,0.7153851376846433,600,0.00016336924995420454,1764933403.3421826,0.22033169865608215,5549617.0,1334.295457619,0.72,0.096,0.7976596109569073
60,0.7704260999336838,610,0.00016211477802783103,1764933427.0733871,0.2066630721092224,5648880.0,1358.026503825,0.7631,0.0976,0.7865818709135055
61,0.7748598743230104,620,0.00016084418420726432,1764933447.586338,0.20088410377502441,5741444.0,1378.539632318,0.7535,0.0992,0.7865305073559284
62,0.68542839884758,630,0.00015955779827520327,1764933467.6189728,0.2495863437652588,5829538.0,1398.572239,0.6829,0.1008,0.806579378247261
63,0.7876955732703209,640,0.00015825595411319014,1764933488.0950046,0.2439659982919693,5922109.0,1419.048188183,0.8026,0.1024,0.780629613250494
64,0.7827806470915675,650,0.00015693898961495177,1764933508.313963,0.28170046210289,6009365.0,1439.267298004,0.7904,0.104,0.7817495360970497
65,0.7666430350393056,660,0.00015560724659869902,1764933528.2933574,0.23633922636508942,6096613.0,1459.246533178,0.7529,0.1056,0.7867082692682743
66,0.7814684879034758,670,0.00015426107071840806,1764933548.6083899,0.2242537885904312,6188395.0,1479.561691857,0.7674,0.1072,0.7793938845396042
67,0.7196193352341652,680,0.00015290081137410563,1764933569.184336,0.19902938604354858,6286534.0,1500.13750376,0.7111,0.1088,0.7989596173167228
68,0.7475436180830002,690,0.0001515268216211825,1764933589.7348323,0.22336792945861816,6380753.0,1520.688053836,0.7467,0.1104,0.7932487688958645
69,0.6978325054049492,700,0.00015013945807875758,1764933610.4755886,0.22430062294006348,6477376.0,1541.428741997,0.7029,0.112,0.8001142404973507
70,0.6829024240374565,710,0.00014873908083711784,1764933630.6072738,0.20367251336574554,6570750.0,1561.560385994,0.6255,0.1136,0.8160121634602546
71,0.7642580755054951,720,0.00014732605336425651,1764933650.9871426,0.18381541967391968,6657113.0,1581.940181935,0.7417,0.1152,0.7916951388120651
72,0.7227374229580164,730,0.000145900742411535,1764933681.5985625,0.18260996043682098,6753036.0,1612.553502055,0.7301,0.1168,0.797667483240366
73,0.7766903541982174,740,0.00014446351791849276,1764933721.6884081,0.22899790108203888,6848021.0,1652.641659864,0.7634,0.1184,0.7855998694896698
74,0.7462440434843302,750,0.0001430147529168292,1764933745.0297558,0.2581542134284973,6936489.0,1675.983183064,0.737,0.12,0.7909879490733147
75,0.7122833088040352,760,0.00014155482343358345,1764933768.50324,0.2396535575389862,7037654.0,1699.456478765,0.6904,0.1216,0.8014232344925404
76,0.7499851834028959,770,0.0001400841083935365,1764933792.7156506,0.20325259864330292,7135272.0,1723.669255076,0.7311,0.1232,0.7974943615496158
77,0.7267664942890406,780,0.00013860298952086118,1764933816.9969203,0.24646732211112976,7223780.0,1747.950058071,0.713,0.1248,0.7929008975625038
78,0.7979054734110832,790,0.0001371118512400456,1764933840.4348314,0.20186546444892883,7310798.0,1771.388048258,0.8087,0.1264,0.7795597806572914
79,0.7341119952499866,800,0.00013561108057611606,1764933863.0422413,0.2310919463634491,7397957.0,1793.995399663,0.7335,0.128,0.7904132530093193
80,0.7271357737481594,810,0.00013410106705418425,1764933887.7588394,0.24781717360019684,7493980.0,1818.711939023,0.7103,0.1296,0.7962092764675617
81,0.7734074739739298,820,0.00013258220259834618,1764933909.420465,0.23959052562713623,7589675.0,1840.373810847,0.7388,0.1312,0.7878078266978263
82,0.7753275327384472,830,0.00013105488142995837,1764933930.5503304,0.21151137351989746,7681361.0,1861.503521932,0.7875,0.1328,0.7871998302638531
83,0.8028874170035124,840,0.0001295194999653175,1764933951.685295,0.2268485277891159,7778156.0,1882.638547329,0.7707,0.1344,0.7824440285563469
84,0.7562686484307051,850,0.0001279764567127706,1764933972.563826,0.2583005726337433,7870779.0,1903.516922349,0.7331,0.136,0.7909957796335221
85,0.7741509709507227,860,0.00012642615216928226,1764933993.785153,0.24006907641887665,7964769.0,1924.738399897,0.7713,0.1376,0.7819953106343747
86,0.7198084633797407,870,0.0001248689887164855,1764934015.1141317,0.21974089741706848,8063995.0,1946.067304195,0.7012,0.1392,0.7982888236641884
87,0.7096103835850954,880,0.00012330537051624357,1764934036.309057,0.26583534479141235,8161132.0,1967.262554263,0.6744,0.1408,0.8019549116492272
88,0.7482037292793393,890,0.00012173570340574992,1764934057.2832654,0.18931429088115692,8251717.0,1988.23638467,0.7024,0.1424,0.791132503002882
89,0.7293010774999857,900,0.00012016039479219292,1764934078.302749,0.21785244345664978,8349422.0,2009.255951684,0.7058,0.144,0.802216450124979
90,0.6920041066594422,910,0.0001185798535470134,1764934098.96942,0.23308023810386658,8438116.0,2029.922511953,0.6583,0.1456,0.8098093748092652
91,0.7690635774284601,920,0.00011699448989978208,1764934120.2191496,0.1775045543909073,8537080.0,2051.172297295,0.7571,0.1472,0.7878734961152076
92,0.7472200311720372,930,0.0001154047153317243,1764934140.9282734,0.20096679031848907,8630331.0,2071.881348552,0.6938,0.1488,0.8034542568027974
93,0.695298707857728,940,0.00011381094246892022,1764934162.5136907,0.21748694777488708,8732349.0,2093.466776766,0.7013,0.1504,0.803977607190609
94,0.7637606676667928,950,0.00011221358497520768,1764934183.5480485,0.20504695177078247,8829501.0,2114.501136341,0.7415,0.152,0.7934509605169296
95,0.7465658739209176,960,0.00011061305744481558,1764934204.5967424,0.2565104365348816,8919758.0,2135.549900208,0.7389,0.1536,0.7856502719223499
96,0.7529526181519032,970,0.00010900977529475609,1764934225.098114,0.2029169499874115,8999050.0,2156.051312793,0.722,0.1552,0.7958555579185486
97,0.7336335461586714,980,0.00010740415465700301,1764934245.9008288,0.20587033033370972,9085467.0,2176.854097178,0.6986,0.1568,0.7975526720285415
98,0.6948482744395733,990,0.00010579661227048483,1764934266.4433744,0.2259611040353775,9169451.0,2197.396538763,0.6888,0.1584,0.8032442964613438
99,0.760703819617629,1000,0.00010418756537291996,1764934287.0879738,0.24969899654388428,9264252.0,2218.041027164,0.7239,0.16,0.7907508946955204
100,0.7395165152847767,1010,0.00010257743159252285,1764934311.066201,0.19710367918014526,9356611.0,2242.019309072,0.7562,0.1616,0.7847569637000561
101,0.7582205070182682,1020,0.00010096662883960832,1764934332.2953033,0.2454255372285843,9455399.0,2263.248546501,0.7776,0.1632,0.7855931751430034
102,0.6827363358810544,1030,9.935557519812313e-05,1764934353.2836642,0.18785716593265533,9549965.0,2284.23687691,0.6685,0.1648,0.8143612571060658
103,0.8048817776143551,1040,9.774468881713216e-05,1764934378.5023084,0.23519782721996307,9644968.0,2309.455518573,0.7959,0.1664,0.778132078051567
